shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
636e5ba5-1fdd-459c-82bb-59f2aead5ecf,42.3340289195793,-71.2444659319202,1,146.28
4f48eaa9-89c6-49b0-a7ab-ebf904a00c42,42.2969460366336,-71.4726870639734,12,1982.09
fd4c1dc1-3c32-4573-be8a-3a9651c6107f,42.2944636520424,-71.5053738060816,43,12085.46
387741ec-af5f-4a7b-9b82-820060cdce6f,42.2996953010378,-71.3968838093808,10,1144.12
9ffea29d-1305-44de-bab8-8ccc2cbd144b,42.3023842157355,-71.3853114178962,37,5433.66
fb476a4a-c0d7-413f-9c4a-799a1b2d4dd6,42.3259393767082,-71.2560557577643,64,17210.06
a2fac56d-750e-44a1-835c-e5ece22b4aa8,42.306068230037,-71.5373671971182,55,10394.17
a2fac56d-750e-44a1-835c-e5ece22b4aa8,42.3389775955068,-71.5898540073546,8,373.64
3b5f0679-5280-40e8-914b-62acba2092d8,42.3058187845837,-71.5293299573261,28,8803.6
f4cb018e-cda2-419a-a98d-ab90e844dcc9,42.3062157515416,-71.5405241573169,14,7136.34
f4cb018e-cda2-419a-a98d-ab90e844dcc9,42.3317624528266,-71.5852902284438,2,678.94
f4cb018e-cda2-419a-a98d-ab90e844dcc9,42.2730515762002,-71.443068769161,45,20511.88
a2fac56d-750e-44a1-835c-e5ece22b4aa8,42.3337660630802,-71.587925498958,20,1433.97
3b5f0679-5280-40e8-914b-62acba2092d8,42.2785286473351,-71.5256003454686,31,11869.45
f4cb018e-cda2-419a-a98d-ab90e844dcc9,42.3140317090769,-71.5721152169773,9,3469.75
a2fac56d-750e-44a1-835c-e5ece22b4aa8,42.3105944580194,-71.5620743669316,49,8228.88
a2fac56d-750e-44a1-835c-e5ece22b4aa8,42.3315854270211,-71.585884337776,29,3120.59
a2fac56d-750e-44a1-835c-e5ece22b4aa8,42.3116284496563,-71.5661177972625,48,7877.31
3b5f0679-5280-40e8-914b-62acba2092d8,42.3021025837721,-71.5274631397404,29,9244.12
f4cb018e-cda2-419a-a98d-ab90e844dcc9,42.2654796996998,-71.451187816333,41,19304.97
3b5f0679-5280-40e8-914b-62acba2092d8,42.33189790439,-71.5774045334699,0,0
f4cb018e-cda2-419a-a98d-ab90e844dcc9,42.2600307917613,-71.4581722890241,38,18347.36
f4cb018e-cda2-419a-a98d-ab90e844dcc9,42.2674055258873,-71.5006477535157,24,14391.74
a2fac56d-750e-44a1-835c-e5ece22b4aa8,42.3366588256752,-71.5941066500012,13,813.12
a2fac56d-750e-44a1-835c-e5ece22b4aa8,42.2689317029078,-71.5231635584333,67,15234.52
3b5f0679-5280-40e8-914b-62acba2092d8,42.3156960198698,-71.5652205982936,22,4861.29
f4cb018e-cda2-419a-a98d-ab90e844dcc9,42.2670689086359,-71.5088781123685,22,13701.29
3b5f0679-5280-40e8-914b-62acba2092d8,42.3138908930952,-71.5719703776819,21,4271.51
f4cb018e-cda2-419a-a98d-ab90e844dcc9,42.2665673355202,-71.4963816998232,26,14767.79
f4cb018e-cda2-419a-a98d-ab90e844dcc9,42.269418523873,-71.449829277386,43,19781.87
a2fac56d-750e-44a1-835c-e5ece22b4aa8,42.3141430207576,-71.563132498451,46,7468.16
3b5f0679-5280-40e8-914b-62acba2092d8,42.3118725306912,-71.5660829285433,24,5414.76
a2fac56d-750e-44a1-835c-e5ece22b4aa8,42.3146834859063,-71.5767178879212,40,6213.94
f4cb018e-cda2-419a-a98d-ab90e844dcc9,42.2744503482849,-71.4261118427582,54,22074.23
a2fac56d-750e-44a1-835c-e5ece22b4aa8,42.3320695657771,-71.5859715095742,24,1687.06
a2fac56d-750e-44a1-835c-e5ece22b4aa8,42.3364281556862,-71.5939752217516,14,840.93
a2fac56d-750e-44a1-835c-e5ece22b4aa8,42.3139861115209,-71.5716163260708,42,6651.31
a2fac56d-750e-44a1-835c-e5ece22b4aa8,42.3383848272791,-71.5895133667894,6,302
a2fac56d-750e-44a1-835c-e5ece22b4aa8,42.3059274140553,-71.5294707733077,59,11066.59
a2fac56d-750e-44a1-835c-e5ece22b4aa8,42.3264530197652,-71.5899760478721,32,3824.37
f4cb018e-cda2-419a-a98d-ab90e844dcc9,42.2670595209038,-71.5224822773029,17,12430.73
